#,name,asof,volume,close_usd,sector_level1,sector_level2,mktcap_usd
1,Amazon Com,1999-12-01,213201960,4.25,CONSUMER CYCLICALS,Retailers,44625000000
2,Amazon Com,1999-12-02,190767980,4.453125,CONSUMER CYCLICALS,Retailers,46757812500
3,Amazon Com,1999-12-03,222977980,4.328125,CONSUMER CYCLICALS,Retailers,45445312500
4,Amazon Com,1999-12-06,183930000,4.3875000000000002,CONSUMER CYCLICALS,Retailers,46068750000
5,Amazon Com,1999-12-07,134525940,4.3031249999999996,CONSUMER CYCLICALS,Retailers,45182812500
6,Amazon Com,1999-12-08,257304000,4.4281249999999996,CONSUMER CYCLICALS,Retailers,46495312500
7,Amazon Com,1999-12-09,827050000,5.1812500000000004,CONSUMER CYCLICALS,Retailers,54403125000
8,Amazon Com,1999-12-10,298434000,5.3343749999999996,CONSUMER CYCLICALS,Retailers,56010937500
9,Amazon Com,1999-12-13,173050000,5.125,CONSUMER CYCLICALS,Retailers,53812500000
10,Amazon Com,1999-12-14,202085940,4.78125,CONSUMER CYCLICALS,Retailers,50203125000
11,Amazon Com,1999-12-15,202595940,4.8250000000000002,CONSUMER CYCLICALS,Retailers,50662500000
12,Amazon Com,1999-12-16,140047980,4.7437500000000004,CONSUMER CYCLICALS,Retailers,49809375000
13,Amazon Com,1999-12-17,119030000,4.703125,CONSUMER CYCLICALS,Retailers,49382812500
14,Amazon Com,1999-12-20,211074000,4.8499999999999996,CONSUMER CYCLICALS,Retailers,50925000000
15,Amazon Com,1999-12-21,190115940,4.9937500000000004,CONSUMER CYCLICALS,Retailers,52434375000
16,Amazon Com,1999-12-22,118397980,4.8843750000000004,CONSUMER CYCLICALS,Retailers,51285937500
17,Amazon Com,1999-12-23,258247980,4.5,CONSUMER CYCLICALS,Retailers,47250000000
18,Amazon Com,1999-12-24,0,4.5,CONSUMER CYCLICALS,Retailers,47250000000
19,Amazon Com,1999-12-27,330390000,4.0562500000000004,CONSUMER CYCLICALS,Retailers,42590625000
20,Amazon Com,1999-12-28,206080000,4.1156249999999996,CONSUMER CYCLICALS,Retailers,43214062500
21,Amazon Com,1999-12-29,118253980,4.1749999999999998,CONSUMER CYCLICALS,Retailers,43837500000
22,Amazon Com,1999-12-30,185100000,3.953125,CONSUMER CYCLICALS,Retailers,41507812500
23,Amazon Com,1999-12-31,145411960,3.8062499999999999,CONSUMER CYCLICALS,Retailers,39965625000
24,Amazon Com,2000-01-03,322505940,4.46875,CONSUMER CYCLICALS,Retailers,46921875000
25,Amazon Com,2000-01-04,349511960,4.0968749999999998,CONSUMER CYCLICALS,Retailers,43017187500
26,Amazon Com,2000-01-05,769021960,3.4874999999999998,CONSUMER CYCLICALS,Retailers,36618750000
27,Amazon Com,2000-01-06,374944000,3.2781250000000002,CONSUMER CYCLICALS,Retailers,34420312500
28,Amazon Com,2000-01-07,210065940,3.4781249999999999,CONSUMER CYCLICALS,Retailers,36520312500
29,Amazon Com,2000-01-10,295144000,3.4593750000000001,CONSUMER CYCLICALS,Retailers,36323437500
30,Amazon Com,2000-01-11,210114000,3.3374999999999999,CONSUMER CYCLICALS,Retailers,35043750000
31,Amazon Com,2000-01-12,216097980,3.1781250000000001,CONSUMER CYCLICALS,Retailers,33370312500
32,Amazon Com,2000-01-13,208960000,3.296875,CONSUMER CYCLICALS,Retailers,34617187500
33,Amazon Com,2000-01-14,137050000,3.2124999999999999,CONSUMER CYCLICALS,Retailers,33731250000
34,Amazon Com,2000-01-17,0,3.2124999999999999,CONSUMER CYCLICALS,Retailers,33731250000
35,Amazon Com,2000-01-18,107647980,3.2062499999999998,CONSUMER CYCLICALS,Retailers,33665625000
36,Amazon Com,2000-01-19,164880000,3.3406250000000002,CONSUMER CYCLICALS,Retailers,35076562500
37,Amazon Com,2000-01-20,119541960,3.2374999999999998,CONSUMER CYCLICALS,Retailers,33993750000
38,Amazon Com,2000-01-21,229171960,3.1031249999999999,CONSUMER CYCLICALS,Retailers,32582812500
39,Amazon Com,2000-01-24,583074000,3.5062500000000001,CONSUMER CYCLICALS,Retailers,36815625000
40,Amazon Com,2000-01-25,188663980,3.4624999999999999,CONSUMER CYCLICALS,Retailers,36356250000
41,Amazon Com,2000-01-26,131140000,3.2406250000000001,CONSUMER CYCLICALS,Retailers,34026562500
42,Amazon Com,2000-01-27,135671960,3.3468749999999998,CONSUMER CYCLICALS,Retailers,35142187500
43,Amazon Com,2000-01-28,275607980,3.0843750000000001,CONSUMER CYCLICALS,Retailers,32385937500
44,Amazon Com,2000-01-31,213951960,3.2281249999999999,CONSUMER CYCLICALS,Retailers,33895312500
45,Amazon Com,2000-02-01,268080000,3.3718750000000002,CONSUMER CYCLICALS,Retailers,35404687500
